conversation_id,turn_id,start_time_utc,timestamp_utc,history,label,end_label
1,1,2024-04-03T15:12:00Z,2024-04-03T15:12:00Z,,continue,not_end
1,3,2024-04-03T15:12:00Z,2024-04-03T15:15:01Z,"Recruiter: Thanks for applying to our Python Developer opening. What kinds of Python projects have you worked on recently?
Candidate: I've been using Python professionally for five years, mostly for data analysis.",schedule,not_end
1,5,2024-04-03T15:12:00Z,2024-04-03T15:16:23Z,"Recruiter: Thanks for applying to our Python Developer opening. What kinds of Python projects have you worked on recently?
Candidate: I've been using Python professionally for five years, mostly for data analysis.
Recruiter: Our engineering manager can interview you Wednesday at 10 AM or Thursday at 2 PM. Which works best?
Candidate: I can't at that time—I'm busy.",schedule,not_end
1,7,2024-04-03T15:12:00Z,2024-04-03T15:17:46Z,"Recruiter: Thanks for applying to our Python Developer opening. What kinds of Python projects have you worked on recently?
Candidate: I've been using Python professionally for five years, mostly for data analysis.
Recruiter: Our engineering manager can interview you Wednesday at 10 AM or Thursday at 2 PM. Which works best?
Candidate: I can't at that time—I'm busy.
Recruiter: No problem. How about Thursday at 4 PM instead?
Candidate: Monday at 3 PM is good.",end,end
2,1,2024-04-30T11:19:00Z,2024-04-30T11:19:00Z,,continue,not_end
2,3,2024-04-30T11:19:00Z,2024-04-30T11:21:46Z,"Recruiter: Hi, thanks for submitting your application for our Python Developer role. Could you share a bit about your Python experience?
Candidate: I have three years' experience with Django and Flask.",continue,not_end
2,5,2024-04-30T11:19:00Z,2024-04-30T11:24:54Z,"Recruiter: Hi, thanks for submitting your application for our Python Developer role. Could you share a bit about your Python experience?
Candidate: I have three years' experience with Django and Flask.
Recruiter: Do you have any questions of your own?
Candidate: Could you share more about the company's cloud technologies?",continue,not_end
2,7,2024-04-30T11:19:00Z,2024-04-30T11:28:06Z,"Recruiter: Hi, thanks for submitting your application for our Python Developer role. Could you share a bit about your Python experience?
Candidate: I have three years' experience with Django and Flask.
Recruiter: Do you have any questions of your own?
Candidate: Could you share more about the company's cloud technologies?
Recruiter: We currently deploy to AWS using Docker and ECS.
Candidate: Sounds great! I'd be happy to schedule a meeting",schedule,not_end
2,9,2024-04-30T11:19:00Z,2024-04-30T11:31:45Z,"Recruiter: Hi, thanks for submitting your application for our Python Developer role. Could you share a bit about your Python experience?
Candidate: I have three years' experience with Django and Flask.
Recruiter: Do you have any questions of your own?
Candidate: Could you share more about the company's cloud technologies?
Recruiter: We currently deploy to AWS using Docker and ECS.
Candidate: Sounds great! I'd be happy to schedule a meeting
Recruiter: Understood—what about next Tuesday at 10 AM?
Candidate: Tuesday at 10 AM works.",end,end
3,1,2024-04-10T16:02:00Z,2024-04-10T16:02:00Z,,continue,not_end
3,3,2024-04-10T16:02:00Z,2024-04-10T16:04:16Z,"Recruiter: Hi, thanks for submitting your application for our Python Developer role. Could you share a bit about your Python experience?
Candidate: Sure, I have four years of Python experience and two with SQL.",continue,not_end
3,5,2024-04-10T16:02:00Z,2024-04-10T16:07:17Z,"Recruiter: Hi, thanks for submitting your application for our Python Developer role. Could you share a bit about your Python experience?
Candidate: Sure, I have four years of Python experience and two with SQL.
Recruiter: How comfortable are you with SQL in addition to Python?
Candidate: Very comfortable, may I ask what technologies does the current stack use?",continue,not_end
3,7,2024-04-10T16:02:00Z,2024-04-10T16:10:09Z,"Recruiter: Hi, thanks for submitting your application for our Python Developer role. Could you share a bit about your Python experience?
Candidate: Sure, I have four years of Python experience and two with SQL.
Recruiter: How comfortable are you with SQL in addition to Python?
Candidate: Very comfortable, may I ask what technologies does the current stack use?
Recruiter: We currently deploy to AWS using Docker and ECS.
Candidate: I would like to set an appointment, does Monday at 3 PM is good.",end,end
4,1,2024-04-28T11:13:00Z,2024-04-28T11:13:00Z,,continue,not_end
4,3,2024-04-28T11:13:00Z,2024-04-28T11:14:37Z,"Recruiter: Hello! I saw your application for the Python Developer position—how long have you been working with Python?
Candidate: I've been using Python professionally for five years, mostly for data analysis.",continue,not_end
4,5,2024-04-28T11:13:00Z,2024-04-28T11:17:28Z,"Recruiter: Hello! I saw your application for the Python Developer position—how long have you been working with Python?
Candidate: I've been using Python professionally for five years, mostly for data analysis.
Recruiter: Are you also using SQL in addition to Python?
Candidate: Yes, SQL is a big part of my job. Is the position fully remote or hybrid?",continue,not_end
4,7,2024-04-28T11:13:00Z,2024-04-28T11:20:25Z,"Recruiter: Hello! I saw your application for the Python Developer position—how long have you been working with Python?
Candidate: I've been using Python professionally for five years, mostly for data analysis.
Recruiter: Are you also using SQL in addition to Python?
Candidate: Yes, SQL is a big part of my job. Is the position fully remote or hybrid?
Recruiter: Hybrid work model, with at least two days of remote work per week, will you be able to meet next Wednesday at 10 AM
Candidate: Wednesday at 10 AM works for me.",end,end
5,1,2024-04-26T12:43:00Z,2024-04-26T12:43:00Z,,continue,not_end
5,3,2024-04-26T12:43:00Z,2024-04-26T12:45:23Z,"Recruiter: Hi, thanks for submitting your application for our Python Developer role. Could you share a bit about your Python experience?
Candidate: I primarily work with Python for backend services.",schedule,not_end
5,5,2024-04-26T12:43:00Z,2024-04-26T12:46:47Z,"Recruiter: Hi, thanks for submitting your application for our Python Developer role. Could you share a bit about your Python experience?
Candidate: I primarily work with Python for backend services.
Recruiter: Our engineering manager can interview you Wednesday at 10 AM or Thursday at 2 PM. Which works best?
Candidate: Please remove me from your list. Thanks.",end,end
6,1,2024-04-16T16:45:00Z,2024-04-16T16:45:00Z,,continue,not_end
6,3,2024-04-16T16:45:00Z,2024-04-16T16:46:35Z,"Recruiter: Hello! I saw your application for the Python Developer position—how long have you been working with Python?
Candidate: I've been using Python professionally for five years.",schedule,not_end
